Date,Geography,New housing price indexes,Index Value
2018-01,Canada,Total (house and land),103.3
2018-01,Canada,House only,103.2
2018-01,Canada,Land only,103.7
2018-01,Atlantic Region,Total (house and land),100.3
2018-01,Atlantic Region,House only,100.3
2018-01,Atlantic Region,Land only,99.9
2018-01,Newfoundland and Labrador,Total (house and land),99.0
2018-01,Newfoundland and Labrador,House only,98.8
2018-01,Newfoundland and Labrador,Land only,99.8
2018-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.0
2018-01,"St. John's, Newfoundland and Labrador",House only,98.8
2018-01,"St. John's, Newfoundland and Labrador",Land only,99.8
2018-01,Prince Edward Island,Total (house and land),100.3
2018-01,Prince Edward Island,House only,100.4
2018-01,Prince Edward Island,Land only,100.0
2018-01,"Charlottetown, Prince Edward Island",Total (house and land),100.3
2018-01,"Charlottetown, Prince Edward Island",House only,100.4
2018-01,"Charlottetown, Prince Edward Island",Land only,100.0
2018-01,Nova Scotia,Total (house and land),101.0
2018-01,Nova Scotia,House only,101.3
2018-01,Nova Scotia,Land only,99.9
2018-01,"Halifax, Nova Scotia",Total (house and land),101.0
2018-01,"Halifax, Nova Scotia",House only,101.3
2018-01,"Halifax, Nova Scotia",Land only,99.9
2018-01,New Brunswick,Total (house and land),101.2
2018-01,New Brunswick,House only,101.3
2018-01,New Brunswick,Land only,100.0
2018-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),101.2
2018-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,101.3
2018-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,100.0
2018-01,Quebec,Total (house and land),101.4
2018-01,Quebec,House only,101.6
2018-01,Quebec,Land only,100.6
2018-01,"Québec, Quebec",Total (house and land),100.6
2018-01,"Québec, Quebec",House only,100.5
2018-01,"Québec, Quebec",Land only,100.8
2018-01,"Sherbrooke, Quebec",Total (house and land),99.9
2018-01,"Sherbrooke, Quebec",House only,99.8
2018-01,"Sherbrooke, Quebec",Land only,100.4
2018-01,"Trois-Rivières, Quebec",Total (house and land),100.6
2018-01,"Trois-Rivières, Quebec",House only,100.7
2018-01,"Trois-Rivières, Quebec",Land only,100.2
2018-01,"Montréal, Quebec",Total (house and land),101.8
2018-01,"Montréal, Quebec",House only,102.2
2018-01,"Montréal, Quebec",Land only,100.7
2018-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),101.3
2018-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,101.8
2018-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,100.0
2018-01,Ontario,Total (house and land),104.6
2018-01,Ontario,House only,104.0
2018-01,Ontario,Land only,106.6
2018-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),104.8
2018-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,104.8
2018-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,103.3
2018-01,"Oshawa, Ontario",Total (house and land),104.9
2018-01,"Oshawa, Ontario",House only,104.0
2018-01,"Oshawa, Ontario",Land only,106.0
2018-01,"Toronto, Ontario",Total (house and land),104.6
2018-01,"Toronto, Ontario",House only,103.2
2018-01,"Toronto, Ontario",Land only,108.2
2018-01,"Hamilton, Ontario",Total (house and land),103.2
2018-01,"Hamilton, Ontario",House only,104.4
2018-01,"Hamilton, Ontario",Land only,100.4
2018-01,"St. Catharines-Niagara, Ontario",Total (house and land),104.5
2018-01,"St. Catharines-Niagara, Ontario",House only,105.6
2018-01,"St. Catharines-Niagara, Ontario",Land only,102.4
2018-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),103.6
2018-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,102.9
2018-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,104.2
2018-01,"Guelph, Ontario",Total (house and land),104.6
2018-01,"Guelph, Ontario",House only,104.6
2018-01,"Guelph, Ontario",Land only,104.1
2018-01,"London, Ontario",Total (house and land),107.8
2018-01,"London, Ontario",House only,109.5
2018-01,"London, Ontario",Land only,100.8
2018-01,"Windsor, Ontario",Total (house and land),102.6
2018-01,"Windsor, Ontario",House only,102.2
2018-01,"Windsor, Ontario",Land only,104.3
2018-01,"Greater Sudbury, Ontario",Total (house and land),99.8
2018-01,"Greater Sudbury, Ontario",House only,99.6
2018-01,"Greater Sudbury, Ontario",Land only,100.1
2018-01,Prairie Region,Total (house and land),100.3
2018-01,Prairie Region,House only,100.2
2018-01,Prairie Region,Land only,100.4
2018-01,Manitoba,Total (house and land),103.3
2018-01,Manitoba,House only,104.6
2018-01,Manitoba,Land only,100.8
2018-01,"Winnipeg, Manitoba",Total (house and land),103.3
2018-01,"Winnipeg, Manitoba",House only,104.6
2018-01,"Winnipeg, Manitoba",Land only,100.8
2018-01,Saskatchewan,Total (house and land),99.1
2018-01,Saskatchewan,House only,98.8
2018-01,Saskatchewan,Land only,100.0
2018-01,"Regina, Saskatchewan",Total (house and land),100.4
2018-01,"Regina, Saskatchewan",House only,100.3
2018-01,"Regina, Saskatchewan",Land only,100.6
2018-01,"Saskatoon, Saskatchewan",Total (house and land),98.4
2018-01,"Saskatoon, Saskatchewan",House only,97.9
2018-01,"Saskatoon, Saskatchewan",Land only,99.7
2018-01,Alberta,Total (house and land),100.1
2018-01,Alberta,House only,99.9
2018-01,Alberta,Land only,100.4
2018-01,"Calgary, Alberta",Total (house and land),100.3
2018-01,"Calgary, Alberta",House only,100.1
2018-01,"Calgary, Alberta",Land only,100.7
2018-01,"Edmonton, Alberta",Total (house and land),99.8
2018-01,"Edmonton, Alberta",House only,99.7
2018-01,"Edmonton, Alberta",Land only,100.1
2018-01,British Columbia,Total (house and land),107.8
2018-01,British Columbia,House only,108.7
2018-01,British Columbia,Land only,104.7
2018-01,"Kelowna, British Columbia",Total (house and land),103.4
2018-01,"Kelowna, British Columbia",House only,104.4
2018-01,"Kelowna, British Columbia",Land only,101.2
2018-01,"Vancouver, British Columbia",Total (house and land),108.9
2018-01,"Vancouver, British Columbia",House only,109.9
2018-01,"Vancouver, British Columbia",Land only,105.5
2018-01,"Victoria, British Columbia",Total (house and land),101.6
2018-01,"Victoria, British Columbia",House only,102.0
2018-01,"Victoria, British Columbia",Land only,100.4
2018-02,Canada,Total (house and land),103.1
2018-02,Canada,House only,102.9
2018-02,Canada,Land only,103.8
2018-02,Atlantic Region,Total (house and land),100.3
2018-02,Atlantic Region,House only,100.3
2018-02,Atlantic Region,Land only,99.9
2018-02,Newfoundland and Labrador,Total (house and land),99.0
2018-02,Newfoundland and Labrador,House only,98.8
2018-02,Newfoundland and Labrador,Land only,99.8
2018-02,"St. John's, Newfoundland and Labrador",Total (house and land),99.0
2018-02,"St. John's, Newfoundland and Labrador",House only,98.8
2018-02,"St. John's, Newfoundland and Labrador",Land only,99.8
2018-02,Prince Edward Island,Total (house and land),100.3
2018-02,Prince Edward Island,House only,100.4
2018-02,Prince Edward Island,Land only,100.0
